GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JabberPointSQ,org.nhlstenden.jabberpoint.util,ResourceAccessor,11,46,0,4,3,10,1,5,1,3
JabberPointSQ,org.nhlstenden.jabberpoint.util,Constants,9,40,0,0,4,11,1,1,1,1
JabberPointSQ,org.nhlstenden.jabberpoint.slide.item,BitmapItem,117,35,2,2,16,11,6,3,4,3
JabberPointSQ,org.nhlstenden.jabberpoint.slide.item,TextItem,14,231,5,11,4,45,7,9,2,6
JabberPointSQ,org.nhlstenden.jabberpoint.slide.item,SlideItem,4,12,0,0,2,5,1,2,1,2
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,FontStyleDecorator,0,30,0,0,0,12,0,7,0,7
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,Style,32,72,4,1,4,17,4,8,0,8
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,IndentStyleDecorator,0,18,0,0,0,7,0,3,0,3
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,ColorStyleDecorator,0,19,0,0,0,7,0,3,0,3
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,StyleWrapper,0,30,0,0,0,10,0,7,0,7
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,FontSizeStyleDecorator,0,27,0,0,0,7,0,3,0,3
JabberPointSQ,org.nhlstenden.jabberpoint.decorator,LeadingStyleDecorator,0,18,0,0,0,7,0,3,0,3
JabberPointSQ,org.nhlstenden.jabberpoint.slide,SlideViewerComponent,9,110,2,4,3,28,3,5,1,4
JabberPointSQ,org.nhlstenden.jabberpoint.slide,SlideViewerFrame,0,55,0,0,0,13,0,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.slide,Slide,34,198,3,8,6,42,4,16,1,11
JabberPointSQ,org.nhlstenden.jabberpoint.slide,SlideViewerFrame.new WindowAdapter() {...},3,6,0,0,2,1,1,1,1,1
JabberPointSQ,org.nhlstenden.jabberpoint.builder,BaselineBuilder,0,30,0,0,0,9,0,5,0,5
JabberPointSQ,org.nhlstenden.jabberpoint.builder,Director,0,50,0,0,0,14,0,7,0,7
JabberPointSQ,org.nhlstenden.jabberpoint.command,Previous,0,8,0,0,0,4,0,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.command,Command,0,6,0,0,0,3,0,1,0,1
JabberPointSQ,org.nhlstenden.jabberpoint.command,Open,37,15,1,1,10,6,1,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.command,Exit,3,4,0,0,2,2,1,1,1,1
JabberPointSQ,org.nhlstenden.jabberpoint.command,NewFile,0,16,0,0,0,6,0,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.command,Save,21,15,1,1,6,6,1,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.command,GoTo,13,26,1,1,5,10,1,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.command,Next,0,8,0,0,0,4,0,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint.accessor,DemoPresentation,24,160,2,2,7,44,3,2,1,2
JabberPointSQ,org.nhlstenden.jabberpoint.accessor,XMLAccessor,33,280,3,17,10,68,3,12,0,5
JabberPointSQ,org.nhlstenden.jabberpoint.accessor,Accessor,0,7,0,0,0,3,0,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint,KeyController,0,111,1,1,0,16,1,2,0,2
JabberPointSQ,org.nhlstenden.jabberpoint,JabberPoint,3,59,0,2,1,13,1,2,1,1
JabberPointSQ,org.nhlstenden.jabberpoint,AboutBox,3,6,0,0,1,2,1,1,1,1
JabberPointSQ,org.nhlstenden.jabberpoint,Presentation,32,111,2,8,15,37,9,19,7,16
JabberPointSQ,org.nhlstenden.jabberpoint,MenuController,27,160,0,0,0,30,8,3,8,3
